Day,Month,NewCustomers,TotalMembers,PatientsSeen,CurrentPediatricDoctors,CurrentOrthoDoctors,CurrentNurses,RevenuePrevention,RevenueTreatment,RevenueOrtho,RevenueCardDaily,RevenueTotal,CashNewCard,CashRenewCard,CashTreatment,CashFlowToday,Cash,Costs,DoctorSalary,NurseSalary,MonthlyCardRevenue,ContractLiability,CardContractLiability,OrthoContractLiability,PediatricMaterialRatio,OrthoMaterialRatio
1,1,2,1,2,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-575000.0,0.0,0,0.0,0.0,0.0,0.0,0,0.05,0.3
2,1,2,3,2,1,1,4,0,520,0,0.0,2520.0,10000,0,520,10494.0,-564506.0,26.0,0,0.0,0.0,4000.0,4000.0,0,0.05,0.3
3,1,1,4,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-559506.0,0.0,0,0.0,0.0,12000.0,12000.0,0,0.05,0.3
4,1,2,5,2,1,1,4,0,0,10725,0.0,11725.0,5000,0,19500,21282.5,-538223.5,3217.5,0,0.0,0.0,24775.0,16000.0,8775,0.05,0.3
5,1,1,6,1,1,1,4,0,0,0,0.0,200.0,1000,0,0,1000.0,-537223.5,0.0,0,0.0,0.0,28775.0,20000.0,8775,0.05,0.3
6,1,1,7,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-532223.5,0.0,0,0.0,0.0,29575.0,20800.0,8775,0.05,0.3
7,1,2,9,2,1,1,4,0,0,0,0.0,400.0,2000,0,0,2000.0,-530223.5,0.0,0,0.0,0.0,33575.0,24800.0,8775,0.05,0.3
8,1,2,9,2,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-530223.5,0.0,0,0.0,0.0,35175.0,26400.0,8775,0.05,0.3
9,1,2,11,2,1,1,4,0,0,0,0.0,1200.0,6000,0,0,6000.0,-524223.5,0.0,0,0.0,0.0,35175.0,26400.0,8775,0.05,0.3
10,1,1,11,1,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-524223.5,0.0,0,0.0,0.0,39975.0,31200.0,8775,0.05,0.3
11,1,1,12,1,1,1,4,0,0,0,0.0,200.0,1000,0,0,1000.0,-523223.5,0.0,0,0.0,0.0,39975.0,31200.0,8775,0.05,0.3
12,1,2,14,2,1,1,4,0,0,0,0.0,400.0,2000,0,0,2000.0,-521223.5,0.0,0,0.0,0.0,40775.0,32000.0,8775,0.05,0.3
13,1,1,15,1,1,1,4,0,0,0,0.0,200.0,1000,0,0,1000.0,-520223.5,0.0,0,0.0,0.0,42375.0,33600.0,8775,0.05,0.3
14,1,2,17,2,1,1,4,0,520,0,0.0,920.0,2000,0,520,2494.0,-517729.5,26.0,0,0.0,0.0,43175.0,34400.0,8775,0.05,0.3
15,1,2,19,2,1,1,4,0,0,0,0.0,1200.0,6000,0,0,6000.0,-511729.5,0.0,0,0.0,0.0,44775.0,36000.0,8775,0.05,0.3
16,1,1,20,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-506729.5,0.0,0,0.0,0.0,49575.0,40800.0,8775,0.05,0.3
17,1,2,22,2,1,1,4,0,0,0,0.0,2000.0,10000,0,0,10000.0,-496729.5,0.0,0,0.0,0.0,53575.0,44800.0,8775,0.05,0.3
18,1,2,24,2,1,1,4,0,0,0,0.0,1200.0,6000,0,0,6000.0,-490729.5,0.0,0,0.0,0.0,61575.0,52800.0,8775,0.05,0.3
19,1,2,25,2,1,1,4,0,0,0,0.0,200.0,1000,0,0,1000.0,-489729.5,0.0,0,0.0,0.0,66375.0,57600.0,8775,0.05,0.3
20,1,2,27,2,1,1,4,0,520,0,0.0,2520.0,10000,0,520,10494.0,-479235.5,26.0,0,0.0,0.0,67175.0,58400.0,8775,0.05,0.3
21,1,2,28,2,1,1,4,0,0,0,0.0,200.0,1000,0,0,1000.0,-478235.5,0.0,0,0.0,0.0,75175.0,66400.0,8775,0.05,0.3
22,1,2,28,2,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-478235.5,0.0,0,0.0,0.0,75975.0,67200.0,8775,0.05,0.3
23,1,2,30,2,1,1,4,0,0,0,0.0,2000.0,10000,0,0,10000.0,-468235.5,0.0,0,0.0,0.0,75975.0,67200.0,8775,0.05,0.3
24,1,1,31,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-463235.5,0.0,0,0.0,0.0,83975.0,75200.0,8775,0.05,0.3
25,1,2,31,2,1,1,4,0,800,0,0.0,800.0,0,0,800,760.0,-462475.5,40.0,0,0.0,0.0,87975.0,79200.0,8775,0.05,0.3
26,1,2,32,2,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-457475.5,0.0,0,0.0,0.0,87975.0,79200.0,8775,0.05,0.3
27,1,1,32,1,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-457475.5,0.0,0,0.0,0.0,91975.0,83200.0,8775,0.05,0.3
28,1,2,33,2,1,1,4,0,800,0,0.0,1800.0,5000,0,800,5760.0,-451715.5,40.0,0,0.0,0.0,91975.0,83200.0,8775,0.05,0.3
29,1,2,34,2,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-446715.5,0.0,0,0.0,0.0,95975.0,87200.0,8775,0.05,0.3
30,1,2,36,2,1,1,4,0,0,0,0.0,1200.0,6000,0,0,-115000.0,-561715.5,121000.0,30000,28000.0,0.0,97708.33333333333,88933.33333333333,8775,0.05,0.3
31,2,1,37,1,1,1,4,0,0,0,80.0,1080.0,5000,0,0,5000.0,-556715.5,0.0,0,0.0,2400.0,102375.0,93600.0,8775,0.05,0.3
32,2,1,37,1,1,1,4,0,0,0,80.0,80.0,0,0,0,0.0,-556715.5,0.0,0,0.0,2400.0,106308.33333333333,97533.33333333333,8775,0.05,0.3
33,2,3,38,3,1,1,4,0,0,0,80.0,280.0,1000,0,0,1000.0,-555715.5,0.0,0,0.0,2400.0,106308.33333333333,97533.33333333333,8775,0.05,0.3
34,2,2,40,3,1,1,4,0,0,0,80.0,1280.0,6000,0,0,6000.0,-549715.5,0.0,0,0.0,2400.0,107041.66666666667,98266.66666666667,8775,0.05,0.3
35,2,2,41,2,1,1,4,0,0,0,80.0,1080.0,5000,0,0,5000.0,-544715.5,0.0,0,0.0,2400.0,111708.33333333333,102933.33333333333,8775,0.05,0.3
36,2,2,43,2,1,1,4,0,0,0,80.0,1280.0,6000,0,0,6000.0,-538715.5,0.0,0,0.0,2400.0,115641.66666666667,106866.66666666667,8775,0.05,0.3
37,2,1,44,1,1,1,4,0,0,0,80.0,1080.0,5000,0,0,5000.0,-533715.5,0.0,0,0.0,2400.0,120308.33333333333,111533.33333333333,8775,0.05,0.3
38,2,3,46,3,1,1,4,0,0,0,80.0,2080.0,10000,0,0,10000.0,-523715.5,0.0,0,0.0,2400.0,124241.66666666667,115466.66666666667,8775,0.05,0.3
39,2,2,46,2,1,1,4,0,0,16500,80.0,16580.0,0,0,30000,25050.0,-498665.5,4950.0,0,0.0,2400.0,145608.33333333334,123333.33333333334,22275,0.05,0.3
40,2,2,47,2,1,1,4,0,0,0,80.0,1080.0,5000,0,0,5000.0,-493665.5,0.0,0,0.0,2400.0,145608.33333333334,123333.33333333334,22275,0.05,0.3
41,2,3,49,3,1,1,4,0,800,0,80.0,2880.0,10000,0,800,10760.0,-482905.5,40.0,0,0.0,2400.0,149541.66666666666,127266.66666666666,22275,0.05,0.3
