Day,Month,NewCustomers,TotalMembers,PatientsSeen,CurrentPediatricDoctors,CurrentOrthoDoctors,CurrentNurses,RevenuePrevention,RevenueTreatment,RevenueOrtho,RevenueCardDaily,RevenueTotal,CashNewCard,CashRenewCard,CashTreatment,CashFlowToday,Cash,Costs,DoctorSalary,NurseSalary,MonthlyCardRevenue,ContractLiability,CardContractLiability,OrthoContractLiability,PediatricMaterialRatio,OrthoMaterialRatio
1,1,0,0,0,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-580000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05,0.3
2,1,1,1,1,1,1,4,0,0,0,0.0,200.0,1000,0,0,1000.0,-579000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05,0.3
3,1,1,1,1,1,1,4,0,0,16500,0.0,16500.0,0,0,30000,25050.0,-553950.0,4950.0,0.0,0.0,0.0,14300.0,800.0,13500,0.05,0.3
4,1,1,2,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-548950.0,0.0,0.0,0.0,0.0,14300.0,800.0,13500,0.05,0.3
5,1,1,2,1,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-548950.0,0.0,0.0,0.0,0.0,18300.0,4800.0,13500,0.05,0.3
6,1,0,2,0,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-548950.0,0.0,0.0,0.0,0.0,18300.0,4800.0,13500,0.05,0.3
7,1,1,3,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-543950.0,0.0,0.0,0.0,0.0,18300.0,4800.0,13500,0.05,0.3
8,1,0,3,0,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-543950.0,0.0,0.0,0.0,0.0,22300.0,8800.0,13500,0.05,0.3
9,1,1,4,1,1,1,4,0,520,0,0.0,1520.0,5000,0,520,5494.0,-538456.0,26.0,0.0,0.0,0.0,22300.0,8800.0,13500,0.05,0.3
10,1,1,5,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-533456.0,0.0,0.0,0.0,0.0,26300.0,12800.0,13500,0.05,0.3
11,1,1,5,1,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-533456.0,0.0,0.0,0.0,0.0,30300.0,16800.0,13500,0.05,0.3
12,1,1,6,1,1,1,4,0,0,0,0.0,200.0,1000,0,0,1000.0,-532456.0,0.0,0.0,0.0,0.0,30300.0,16800.0,13500,0.05,0.3
13,1,2,8,2,1,1,4,0,0,0,0.0,1200.0,6000,0,0,6000.0,-526456.0,0.0,0.0,0.0,0.0,31100.0,17600.0,13500,0.05,0.3
14,1,2,9,2,1,1,4,0,800,0,0.0,1000.0,1000,0,800,1760.0,-524696.0,40.0,0.0,0.0,0.0,35900.0,22400.0,13500,0.05,0.3
15,1,1,9,1,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-524696.0,0.0,0.0,0.0,0.0,36700.0,23200.0,13500,0.05,0.3
16,1,1,10,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-519696.0,0.0,0.0,0.0,0.0,36700.0,23200.0,13500,0.05,0.3
17,1,1,10,1,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-519696.0,0.0,0.0,0.0,0.0,40700.0,27200.0,13500,0.05,0.3
18,1,1,11,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-514696.0,0.0,0.0,0.0,0.0,40700.0,27200.0,13500,0.05,0.3
19,1,1,11,1,1,1,4,0,0,0,0.0,0.0,0,0,0,0.0,-514696.0,0.0,0.0,0.0,0.0,44700.0,31200.0,13500,0.05,0.3
20,1,1,12,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-509696.0,0.0,0.0,0.0,0.0,44700.0,31200.0,13500,0.05,0.3
21,1,1,13,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-504696.0,0.0,0.0,0.0,0.0,48700.0,35200.0,13500,0.05,0.3
22,1,2,14,2,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-499696.0,0.0,0.0,0.0,0.0,52700.0,39200.0,13500,0.05,0.3
23,1,1,15,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-494696.0,0.0,0.0,0.0,0.0,56700.0,43200.0,13500,0.05,0.3
24,1,1,15,1,1,1,4,0,0,16500,0.0,16500.0,0,0,30000,25050.0,-469646.0,4950.0,0.0,0.0,0.0,74200.0,47200.0,27000,0.05,0.3
25,1,1,16,1,1,1,4,0,0,0,0.0,1000.0,5000,0,0,5000.0,-464646.0,0.0,0.0,0.0,0.0,74200.0,47200.0,27000,0.05,0.3
26,1,2,16,2,1,1,4,0,0,16500,0.0,16500.0,0,0,30000,25050.0,-439596.0,4950.0,0.0,0.0,0.0,91700.0,51200.0,40500,0.05,0.3
27,1,2,18,2,1,1,4,0,520,0,0.0,2520.0,10000,0,520,10494.0,-429102.0,26.0,0.0,0.0,0.0,91700.0,51200.0,40500,0.05,0.3
